NAME1,NAME2,TYPE,ID
STROYTRANSGAZ HOLDING,STG HOLDING LIMITED,C,16830
STROYTRANSGAZ GROUP,STROYTRANSGAZ,C,16831
STROYTRANSGAZ OJSC,OAO STROYTRANSGAZ,C,16832
STROYTRANSGAZ LLC,OOO STROYTRANSGAZ,C,16834
THE LIMITED LIABILITY COMPANY INVESTMENT COMPANY ABROS,LLC IC ABROS,C,16835
NORTHSTAR TRADING CORPORATION,SYNERGY CONSULTANTS LIMITED,C,16837
MERIDEIS D.O.O.,NIPL D.O.O.,C,16840
PALEA D.O.O.,PALEA LTD.,C,16842
DALIAN ZHENGHUA MAOYI YOUXIAN GONGSI,"DALIAN ZENGHUA TRADING CO., LTD.",C,16849
TEMPBANK,MAB TEMPBANK OAO,C,16860
TEMPBANK,OTKRYTOE AKTSIONERNOE OBSHCHESTVO MOSKOVSKI AKTSIONERNY BANK TEMPBANK,C,16860
TEMPBANK,MOSCOW JOINT-STOCK BANK TEMPBANK OPEN JOINT-STOCK COMPANY,C,16860
FEDERAL STATE UNITARY ENTERPRISE STATE RESEARCH AND PRODUCTION ENTERPRISE BAZALT,FSUE SRPE BAZALT,C,16862
FEDERAL STATE UNITARY ENTERPRISE STATE RESEARCH AND PRODUCTION ENTERPRISE BAZALT,JOINT STOCK COMPANY SCIENTIFIC PRODUCTION ASSOCIATION BAZALT,C,16862
FEDERAL STATE UNITARY ENTERPRISE STATE RESEARCH AND PRODUCTION ENTERPRISE BAZALT,AO NPO BAZALT,C,16862
KONSTRUKTORSKOE BYURO PRIBOROSTROENIYA OTKRYTOE AKTSIONERNOE OBSHCHESTVO,INSTRUMENT DESIGN BUREAU,C,16864
